serial,serial_norm,color,last_seen,stockout_date,reorder_date,last_ship_date,cycle_id,points_used,slope_pct_per_day,level_now_pct,days_left_est,offset_days,should_order_now,slope_7d,slope_14d,slope_30d,var_14d,cycle_age_days,points_in_cycle,days_since_reset,pct,mean_ship_interval,n_ships_180d,err_days
35N00735,35N00735,black,2025-10-05,,,2025-02-17,6,29,,1.0,,0,False,0.0,0.0,0.0,0.0,261,257,261.0,1,92.75,4.0,32.0
35N00735,35N00735,cyan,2023-09-08,,,2025-02-17,0,2,,0.0,,1,False,-0.8571428571428571,-1.0,-1.3045977011494254,1.8461538461541878,40,39,40.0,37,70.0,3.0,28.0
35N00735,35N00735,cyan,2023-09-08,,,2025-02-17,0,2,,0.0,,1,False,-0.8571428571428571,-1.0,-1.3045977011494254,1.8461538461541878,40,39,40.0,37,70.0,3.0,-46.0
35N00735,35N00735,cyan,2023-09-08,,,2025-02-17,0,2,,0.0,,1,False,-0.8571428571428571,-1.0,-1.3045977011494254,1.8461538461541878,40,39,40.0,37,70.0,3.0,111.0
35N00735,35N00735,cyan,2023-09-08,,,2025-02-17,0,2,,0.0,,1,False,-0.8571428571428571,-1.0,-1.3045977011494254,1.8461538461541878,40,39,40.0,37,70.0,3.0,27.0
35N00735,35N00735,cyan,2024-01-16,2024-01-16,2024-01-15,2025-02-17,1,46,-0.1136,0.0,0.0,1,True,-0.8571428571428571,-1.0,-1.3045977011494254,1.8461538461541878,40,39,40.0,37,70.0,3.0,28.0
35N00735,35N00735,cyan,2024-01-16,2024-01-16,2024-01-15,2025-02-17,1,46,-0.1136,0.0,0.0,1,True,-0.8571428571428571,-1.0,-1.3045977011494254,1.8461538461541878,40,39,40.0,37,70.0,3.0,-46.0
35N00735,35N00735,cyan,2024-01-16,2024-01-16,2024-01-15,2025-02-17,1,46,-0.1136,0.0,0.0,1,True,-0.8571428571428571,-1.0,-1.3045977011494254,1.8461538461541878,40,39,40.0,37,70.0,3.0,111.0
35N00735,35N00735,cyan,2024-01-16,2024-01-16,2024-01-15,2025-02-17,1,46,-0.1136,0.0,0.0,1,True,-0.8571428571428571,-1.0,-1.3045977011494254,1.8461538461541878,40,39,40.0,37,70.0,3.0,27.0
35N00735,35N00735,cyan,2024-03-30,2024-03-30,2024-03-29,2025-02-17,2,30,-1.7989,7.0,0.0,1,True,-0.8571428571428571,-1.0,-1.3045977011494254,1.8461538461541878,40,39,40.0,37,70.0,3.0,28.0
